AVAIL|ACTIVE_FEATURES|CPUS|TMP_DISK|FREE_MEM|AVAIL_FEATURES|GROUPS|OVERSUBSCRIBE|TIMELIMIT|MEMORY|HOSTNAMES|NODE_ADDR|PRIO_TIER|ROOT|JOB_SIZE|STATE|USER|VERSION|WEIGHT|S:C:T|NODES(A/I) |MAX_CPUS_PER_NODE |CPUS(A/I/O/T) |NODES |REASON |NODES(A/I/O/T) |GRES |TIMESTAMP |PRIO_JOB_FACTOR |DEFAULTTIME |PREEMPT_MODE |NODELIST |CPU_LOAD |PARTITION |PARTITION |ALLOCNODES |STATE |USER |CLUSTER |SOCKETS |CORES |THREADS 
up|(null)|1|0|N/A|(null)|sched_mit_hill,slurm_admin|NO|12:00:00|1|node064|node064|10|no|1-infinite|drain*|root|N/A|1|1:1:1|0/0 |UNLIMITED |0/0/1/1 |1 |move_for_penguin_racks_incoming |0/0/1/1 |(null) |2020-11-10T13:03:03 |10 |n/a |OFF |node064 |N/A |sched_mit_hill |sched_mit_hill |all |drained* |root(0) |N/A |1 |1 |1 
up|node087,centos7|16|0|N/A|node087,centos7|sched_mit_hill,slurm_admin|NO|12:00:00|64000|node087|node087|10|no|1-infinite|drain*|root|N/A|1|2:8:1|0/0 |UNLIMITED |0/0/16/16 |1 |check_ib_card |0/0/1/1 |gpu:1 |2021-10-05T08:30:19 |10 |n/a |OFF |node087 |N/A |sched_mit_hill |sched_mit_hill |all |drained* |root(0) |N/A |2 |8 |1 
up|(null)|1|0|N/A|(null)|sched_mit_hill,slurm_admin|NO|12:00:00|1|node089|node089|10|no|1-infinite|drain*|root|N/A|1|1:1:1|0/0 |UNLIMITED |0/0/1/1 |1 |bring_back_from_llgrid |0/0/1/1 |(null) |2021-09-17T13:12:21 |10 |n/a |OFF |node089 |N/A |sched_mit_hill |sched_mit_hill |all |drained* |root(0) |N/A |1 |1 |1 
up|(null)|1|0|N/A|(null)|sched_mit_hill,slurm_admin|NO|12:00:00|1|node090|node090|10|no|1-infinite|drain*|root|N/A|1|1:1:1|0/0 |UNLIMITED |0/0/1/1 |1 |bring_back_from_llgrid |0/0/1/1 |(null) |2021-09-17T13:12:21 |10 |n/a |OFF |node090 |N/A |sched_mit_hill |sched_mit_hill |all |drained* |root(0) |N/A |1 |1 |1 
up|node095,centos7|16|0|N/A|node095,centos7|sched_mit_hill,slurm_admin|NO|12:00:00|64000|node095|node095|10|no|1-infinite|drain*|root|N/A|1|2:8:1|0/0 |UNLIMITED |0/0/16/16 |1 |moveto_r4 |0/0/1/1 |gpu:1 |2020-12-18T10:37:31 |10 |n/a |OFF |node095 |N/A |sched_mit_hill |sched_mit_hill |all |drained* |root(0) |N/A |2 |8 |1 
up|node099,centos7|16|0|N/A|node099,centos7|sched_mit_hill,slurm_admin|NO|12:00:00|64000|node099|node099|10|no|1-infinite|drain*|root|N/A|1|2:8:1|0/0 |UNLIMITED |0/0/16/16 |1 |moveto_r4 |0/0/1/1 |gpu:1 |2020-12-18T10:37:31 |10 |n/a |OFF |node099 |N/A |sched_mit_hill |sched_mit_hill |all |drained* |root(0) |N/A |2 |8 |1 
up|(null)|1|0|N/A|(null)|sched_mit_hill,slurm_admin|NO|12:00:00|1|node109|node109|10|no|1-infinite|drain*|root|N/A|1|1:1:1|0/0 |UNLIMITED |0/0/1/1 |1 |bring_back_from_llgrid |0/0/1/1 |(null) |2021-09-17T13:12:21 |10 |n/a |OFF |node109 |N/A |sched_mit_hill |sched_mit_hill |all |drained* |root(0) |N/A |1 |1 |1 
up|(null)|1|0|N/A|(null)|sched_mit_hill,slurm_admin|NO|12:00:00|1|node110|node110|10|no|1-infinite|drain*|root|N/A|1|1:1:1|0/0 |UNLIMITED |0/0/1/1 |1 |bring_back_from_llgrid |0/0/1/1 |(null) |2021-09-17T13:12:21 |10 |n/a |OFF |node110 |N/A |sched_mit_hill |sched_mit_hill |all |drained* |root(0) |N/A |1 |1 |1 
up|(null)|1|0|N/A|(null)|sched_mit_hill,slurm_admin|NO|12:00:00|1|node111|node111|10|no|1-infinite|drain*|root|N/A|1|1:1:1|0/0 |UNLIMITED |0/0/1/1 |1 |bring_back_from_llgrid |0/0/1/1 |(null) |2021-09-17T13:12:21 |10 |n/a |OFF |node111 |N/A |sched_mit_hill |sched_mit_hill |all |drained* |root(0) |N/A |1 |1 |1 
up|node112,centos7|16|0|N/A|node112,centos7|sched_mit_hill,slurm_admin|NO|12:00:00|64000|node112|node112|10|no|1-infinite|drain*|root|N/A|1|2:8:1|0/0 |UNLIMITED |0/0/16/16 |1 |missing_ib |0/0/1/1 |(null) |2022-02-15T10:43:24 |10 |n/a |OFF |node112 |N/A |sched_mit_hill |sched_mit_hill |all |drained* |root(0) |N/A |2 |8 |1 
up|node118,centos7|16|0|N/A|node118,centos7|sched_mit_hill,slurm_admin|NO|12:00:00|64000|node118|node118|10|no|1-infinite|drain*|root|N/A|1|2:8:1|0/0 |UNLIMITED |0/0/16/16 |1 |hard_down |0/0/1/1 |(null) |2021-08-18T15:55:30 |10 |n/a |OFF |node118 |N/A |sched_mit_hill |sched_mit_hill |all |drained* |root(0) |N/A |2 |8 |1 
up|node121,centos6|16|0|N/A|node121,centos6|sched_mit_hill,slurm_admin|NO|12:00:00|64000|node121|node121|10|no|1-infinite|drain*|root|N/A|1|2:8:1|0/0 |UNLIMITED |0/0/16/16 |1 |check_eth |0/0/1/1 |(null) |2021-10-05T08:56:19 |10 |n/a |OFF |node121 |N/A |sched_mit_hill |sched_mit_hill |all |drained* |root(0) |N/A |2 |8 |1 
up|node122,centos7|16|0|N/A|node122,centos7|sched_mit_hill,slurm_admin|NO|12:00:00|64000|node122|node122|10|no|1-infinite|drain*|root|N/A|1|2:8:1|0/0 |UNLIMITED |0/0/16/16 |1 |replace_disk |0/0/1/1 |(null) |2022-03-08T07:48:18 |10 |n/a |OFF |node122 |N/A |sched_mit_hill |sched_mit_hill |all |drained* |root(0) |N/A |2 |8 |1 
up|node123,centos7|16|0|N/A|node123,centos7|sched_mit_hill,slurm_admin|NO|12:00:00|64000|node123|node123|10|no|1-infinite|drain*|root|N/A|1|2:8:1|0/0 |UNLIMITED |0/0/16/16 |1 |frozen_on_boot |0/0/1/1 |(null) |2021-01-19T14:31:17 |10 |n/a |OFF |node123 |N/A |sched_mit_hill |sched_mit_hill |all |drained* |root(0) |N/A |2 |8 |1 
up|node124,centos7|16|0|N/A|node124,centos7|sched_mit_hill,slurm_admin|NO|12:00:00|64000|node124|node124|10|no|1-infinite|drain*|root|N/A|1|2:8:1|0/0 |UNLIMITED |0/0/16/16 |1 |LL_GRID |0/0/1/1 |(null) |2020-10-21T16:21:47 |10 |n/a |OFF |node124 |N/A |sched_mit_hill |sched_mit_hill |all |drained* |root(0) |N/A |2 |8 |1 
up|node128,centos6|16|0|N/A|node128,centos6|sched_mit_hill,slurm_admin|NO|12:00:00|64000|node128|node128|10|no|1-infinite|drain*|root|N/A|1|2:8:1|0/0 |UNLIMITED |0/0/16/16 |1 |check_eth |0/0/1/1 |(null) |2021-10-05T08:56:19 |10 |n/a |OFF |node128 |N/A |sched_mit_hill |sched_mit_hill |all |drained* |root(0) |N/A |2 |8 |1 
up|node138,centos6|16|0|N/A|node138,centos6|sched_mit_hill,slurm_admin|NO|12:00:00|64000|node138|node138|10|no|1-infinite|drain*|root|N/A|1|2:8:1|0/0 |UNLIMITED |0/0/16/16 |1 |moveto_r4 |0/0/1/1 |(null) |2020-12-18T10:37:31 |10 |n/a |OFF |node138 |N/A |sched_mit_hill |sched_mit_hill |all |drained* |root(0) |N/A |2 |8 |1 
up|node141,centos6|16|0|N/A|node141,centos6|sched_mit_hill,slurm_admin|NO|12:00:00|64000|node141|node141|10|no|1-infinite|drain*|root|N/A|1|2:8:1|0/0 |UNLIMITED |0/0/16/16 |1 |moveto_r4 |0/0/1/1 |(null) |2020-12-18T10:37:31 |10 |n/a |OFF |node141 |N/A |sched_mit_hill |sched_mit_hill |all |drained* |root(0) |N/A |2 |8 |1 
